ID,prediction
80_3,dovish
121_6,dovish
124_3,dovish
144_4,dovish
35_10,hawkish
103_5,hawkish
78_3,dovish
71_0,dovish
69_1,neutral
138_8,dovish
127_1,neutral
76_3,dovish
135_9,neutral
4_3,hawkish
135_4,dovish
126_1,neutral
148_10,hawkish
140_1,neutral
144_6,neutral
39_3,
153_12,dovish
2_0,neutral
30_3,dovish
23_2,dovish
136_3,hawkish
137_12,dovish
161_3,hawkish
115_6,neutral
7_4,hawkish
16_1,dovish
139_13,dovish
91_2,hawkish
50_2,hawkish
161_4,hawkish
28_3,neutral
22_4,dovish
138_12,dovish
136_1,neutral
13_2,dovish
141_3,dovish
145_1,dovish
31_1,neutral
138_0,dovish
112_0,neutral
110_6,neutral
68_2,neutral
95_6,neutral
72_3,dovish
70_4,neutral
99_0,neutral
48_3,hawkish
118_7,neutral
73_5,dovish
75_4,neutral
129_5,neutral
114_1,neutral
107_1,dovish
160_5,hawkish
81_3,neutral
37_2,neutral
75_0,neutral
86_0,neutral
70_3,neutral
149_5,neutral
40_2,dovish
100_6,neutral
44_2,hawkish
78_1,dovish
35_8,dovish
124_2,dovish
141_4,neutral
5_6,neutral
77_0,dovish
122_0,neutral
118_0,dovish
100_5,neutral
160_1,hawkish
57_7,dovish
8_3,hawkish
119_0,dovish
112_7,neutral
85_7,dovish
114_0,neutral
156_3,neutral
120_1,dovish
10_0,hawkish
139_3,dovish
117_2,dovish
152_10,dovish
29_4,neutral
35_3,dovish
121_0,dovish
93_7,neutral
40_0,neutral
138_13,dovish
136_7,neutral
137_9,dovish
71_4,dovish
108_3,dovish
65_3,dovish
110_5,hawkish
113_2,neutral
85_5,neutral
81_7,dovish
86_2,dovish
101_1,neutral
44_0,neutral
147_4,dovish
17_2,dovish
140_14,dovish
60_8,neutral
114_5,neutral
82_1,neutral
147_0,dovish
142_10,dovish
117_1,dovish
48_1,hawkish
119_13,hawkish
125_3,neutral
139_14,neutral
88_0,neutral
146_17,dovish
160_2,neutral
21_3,dovish
66_3,neutral
65_4,neutral
68_7,hawkish
56_3,dovish
142_1,neutral
152_5,dovish
16_0,dovish
44_3,hawkish
35_7,hawkish
6_5,hawkish
122_2,neutral
130_1,hawkish
61_4,dovish
37_5,neutral
45_5,neutral
74_2,dovish
54_2,hawkish
117_3,dovish
147_3,hawkish
150_7,neutral
24_4,neutral
79_8,dovish
82_0,dovish
82_6,neutral
56_6,dovish
150_9,dovish
79_1,neutral
42_0,hawkish
10_1,hawkish
98_5,neutral
50_3,hawkish
133_8,neutral
28_4,neutral
133_3,dovish
142_15,neutral
111_4,dovish
6_1,hawkish
111_1,neutral
125_4,neutral
121_10,neutral
51_0,neutral
94_4,neutral
144_13,dovish
147_6,neutral
78_7,neutral
41_2,neutral
56_2,dovish
121_2,dovish
146_13,neutral
142_12,dovish
149_7,neutral
155_1,neutral
115_5,dovish
120_11,neutral
85_6,neutral
147_9,dovish
64_4,neutral
120_8,neutral
88_3,neutral
59_4,neutral
89_4,dovish
77_1,neutral
30_4,dovish
68_6,neutral
114_3,hawkish
150_5,dovish
43_0,hawkish
144_5,dovish
80_6,dovish
53_1,neutral
121_7,hawkish
116_1,neutral
154_11,neutral
110_4,dovish
103_4,neutral
54_3,dovish
95_5,hawkish
154_9,dovish
132_3,dovish
53_6,hawkish
95_4,neutral
144_11,neutral
149_2,hawkish
159_4,hawkish
156_1,hawkish
87_4,dovish
96_6,hawkish
147_8,dovish
87_0,neutral
129_7,hawkish
67_2,dovish
90_5,neutral
55_3,neutral
136_8,hawkish
141_7,dovish
140_5,neutral
125_1,neutral
120_10,dovish
6_6,neutral
47_0,neutral
54_0,neutral
121_4,dovish
34_0,neutral
124_1,dovish
4_4,neutral
50_0,hawkish
123_5,dovish
92_1,neutral
118_2,dovish
134_7,dovish
118_1,dovish
68_5,neutral
19_9,dovish
108_0,dovish
32_4,dovish
149_3,neutral
104_2,hawkish
132_5,neutral
134_6,neutral
18_4,neutral
71_1,neutral
147_5,neutral
53_3,neutral
123_2,neutral
135_8,neutral
